Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
150.0	-44.5	67.0	-26.03	2558	4020	0.00789711510957177	0.059706408616655	347431	6392	-15.817479133605957
150.0	-41.92	47.0	-16.45	2572	4040	0.00803835899522989	0.0594914021263957	349203	6392	-15.853421211242676
150.0	-43.64	80.0	-17.19	2586	4060	0.00830445154547104	0.05930066915279617	350807	6392	-15.815205574035645
25.0	-0.44	75.0	-19.95	2601	4080	0.0013713903871237062	0.059127221751826026	352293	6392	-15.83668041229248
73.0	-0.24	80.0	-35.23	2612	4100	0.003990570335853391	0.05890220367021488	354270	6393	-16.17530632019043
3.0	-0.08	100.0	-32.17	2624	4120	0.0002164897409457605	0.05871143342351764	355983	6393	-16.08778953552246
54.0	-0.33	100.0	-43.14	2635	4140	0.0030931046619507426	0.05850920781458523	357842	6393	-16.12316131591797
5.0	-0.27	22.0	-8.29	2649	4160	0.0003205526906710405	0.058318744562226875	359633	6393	-16.1633358001709
25.0	-0.43	98.0	-29.93	2661	4180	0.001427964958847995	0.05811873090510883	361560	6394	-16.454416275024414
74.0	-0.29	61.0	-18.87	2673	4200	0.004206063520340693	0.05794097726948614	363311	6394	-16.49313735961914
132.0	-0.25	100.0	-36.26	2686	4220	0.007530712120905871	0.05774404258832322	365300	6394	-16.465299606323242
150.0	-56.88	87.0	-27.62	2701	4240	0.008559382861515261	0.05756862451998349	367113	6394	-16.473079681396484
150.0	-38.28	100.0	-37.2	2715	4260	0.008426710585473288	0.057390156037981546	369002	6395	-16.79250144958496
150.0	-60.96	100.0	-35.77	2729	4280	0.008360802514530788	0.05725596471177441	370448	6395	-16.79949951171875
133.0	-0.37	100.0	-24.85	2741	4300	0.007349079098812369	0.05709452847396862	372228	6395	-16.813627243041992
5.0	-0.22	64.0	-21.58	2753	4320	0.0002863547868198819	0.05694292981851964	373936	6395	-16.798465728759766
22.0	-0.43	67.0	-20.42	2765	4340	0.0011966655880624798	0.05678820365739391	375719	6396	-17.13787269592285
81.0	-0.55	67.0	-22.08	2777	4360	0.0044621643123276735	0.05663758936070851	377494	6396	-17.149696350097656
47.0	-0.37	44.0	-10.86	2793	4380	0.0026369852562473247	0.056501603569558204	379130	6396	-17.14463996887207
150.0	-52.63	62.0	-30.29	2807	4400	0.008169602372429587	0.05635242321952554	380967	6396	-17.120534896850586
137.0	-0.31	100.0	-25.27	2824	4420	0.007398805143606609	0.056233879486344764	382454	6396	-17.164043426513672
150.0	-47.92	100.0	-48.1	2833	4440	0.008086655698381028	0.05606372228209862	384648	6397	-17.499204635620117
78.0	-0.34	82.0	-30.72	2848	4460	0.004213513012958749	0.05593793452288292	386305	6397	-17.471525192260742
