Training steps	Validation return	Validation steps	Validation return std	Validation steps std	Q-value evaluation	Q-network loss	Policy-network loss	Alpha loss	Log Pi
73000	-0.2681787134070003	60.0	0.02811403595142464	0.0	0.0	0.19933507	-5.8234613e-28	-209.81711	-1.3306849
74000	-0.3001183227067933	60.0	0.0682968619404392	0.0	0.0	0.18787242	-2.2814494e-28	-218.69133	-1.4173015
75000	-0.3757999917092097	60.0	0.09241188398363183	0.0	0.0	0.23375982	-8.024887e-29	-218.03613	-1.3546616
76000	-0.2725851736118474	60.0	0.01679558160949187	0.0	0.0	0.18439418	-2.7945487e-29	-216.59143	-1.2819531
77000	-0.37618924713582624	60.0	0.09426585940347434	0.0	0.0	0.17910889	-1.0758141e-29	-223.82324	-1.3409314
78000	-0.3100737110864492	60.0	0.09825881209296185	0.0	0.0	0.21391106	-4.083533e-30	-230.0556	-1.3834606
79000	-0.3222436128866996	60.0	0.1019031835022375	0.0	0.0	0.20097908	-1.41072e-30	-227.65758	-1.2996461
80000	-0.25972873761901066	60.0	0.035160516870921	0.0	0.0	0.20467876	-5.185115e-31	-230.85443	-1.2981882
81000	-0.338005359303038	60.0	0.05622072468382344	0.0	0.0	0.23119846	-1.8703173e-31	-232.32051	-1.2723994
82000	-0.31167390174109705	60.0	0.09319375222351904	0.0	0.0	0.22063681	-7.3683424e-32	-242.08383	-1.3625605
83000	-0.26541677883061404	60.0	0.035084639011149804	0.0	0.0	0.2177983	-2.4948936e-32	-237.49698	-1.2536705
84000	-0.30118884716382366	60.0	0.07487901714167015	0.0	0.0	0.20091096	-9.3415816e-33	-242.40341	-1.2760066
85000	-0.3811793302640602	60.0	0.10316725049597471	0.0	0.0	0.21278788	-3.518494e-33	-247.95348	-1.3063331
86000	-0.2781233519027978	60.0	0.023586595700836665	0.0	0.0	0.20097922	-1.3186269e-33	-253.08585	-1.3303758
87000	-0.290574652021126	60.0	0.090690855137031	0.0	0.0	0.1904006	-4.810975e-34	-255.59445	-1.319693
88000	-0.2666532443771365	60.0	0.06410847537221663	0.0	0.0	0.21935824	-1.913804e-34	-267.23285	-1.4263723
89000	-0.2818388098361286	60.0	0.03286266850522872	0.0	0.0	0.1982551	-6.389521e-35	-260.21558	-1.2941726
90000	-0.35877462625899736	60.0	0.06114691874668616	0.0	0.0	0.21288905	-2.4705333e-35	-268.7622	-1.3598462
91000	-0.3783733813266662	60.0	0.10934312137824709	0.0	0.0	0.24981035	-8.779579e-36	-268.3867	-1.3137227
92000	-0.3114550076308199	60.0	0.0715592804730593	0.0	0.0	0.23117802	-3.4159773e-36	-277.88263	-1.3891315
93000	-0.36997149271185836	60.0	0.06849459954560738	0.0	0.0	0.2074443	-1.1785446e-36	-274.1166	-1.3029125
94000	-0.28474219384027977	60.0	0.0889291917182284	0.0	0.0	0.21470389	-4.3570405e-37	-277.90912	-1.3087597
95000	-0.2594748209243899	60.0	0.031227168256747217	0.0	0.0	0.21556573	-1.6467796e-37	-284.21872	-1.3440824
96000	-0.31194721482588295	60.0	0.09503698615761343	0.0	0.0	0.19603972	-6.023165e-38	-286.8545	-1.3358588
97000	-0.30101484793717176	60.0	0.07366307298815136	0.0	0.0	0.20512855	-2.2783925e-38	-293.48434	-1.3737212
98000	-0.32526086025606993	60.0	0.11478451015497573	0.0	0.0	0.21654938	-8.243302e-39	-294.88495	-1.35129
99000	-0.3025000476213901	60.0	0.04110013695034134	0.0	0.0	0.20359984	-3.094232e-39	-300.60083	-1.3778851
100000	-0.31929968163694034	60.0	0.06219914731346669	0.0	0.0	0.18260488	-1.089714e-39	-298.72662	-1.3195107
101000	-0.2643174229022863	60.0	0.04168953693084756	0.0	0.0	0.22726484	-4.02946e-40	-302.5985	-1.3256003
102000	-0.3244109133984675	60.0	0.05542215011739602	0.0	0.0	0.1840521	-1.51975e-40	-308.96674	-1.3586853
103000	-0.2692638250695781	60.0	0.06512002342606743	0.0	0.0	0.21711498	-5.4854e-41	-309.93585	-1.3329897
104000	-0.3374988329987159	60.0	0.030018250698085648	0.0	0.0	0.22197574	-2.0387e-41	-314.5154	-1.346265
105000	-0.2532853714172863	60.0	0.06173731558350968	0.0	0.0	0.22446585	-7.255e-42	-313.65103	-1.3019452
106000	-0.3923107096998164	60.0	0.10684911555009786	0.0	0.0	0.22619559	-2.6e-42	-313.60907	-1.2671244
107000	-0.33362142772262604	60.0	0.09722662991752087	0.0	0.0	0.2229597	-1.03e-42	-326.4311	-1.3656311
