Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Average q-value evaluation
1.0	1.0	60.0	-1.12	1836	10560	7.058183352152507e-07	0.05141188436095023	562324	-14.427136421203613
60.0	-1.0	48.0	-0.47	1846	10600	6.542070856634176e-05	0.05137936774498162	564381	-14.440442085266113
60.0	-1.47	56.0	-0.7	1850	10640	6.598577015382007e-05	0.05134568478342943	566566	-14.447456359863281
60.0	-1.1	53.0	-0.72	1856	10680	6.53863846139515e-05	0.05131133730575711	568853	-14.461493492126465
60.0	-0.74	60.0	-1.16	1864	10720	6.404596923002556e-05	0.05128053862977366	570952	-14.467920303344727
60.0	-1.38	60.0	-1.07	1868	10760	6.235831289043214e-05	0.05124820062738695	573214	-14.47796630859375
60.0	-0.95	45.0	-0.43	1874	10800	6.289950123539677e-05	0.05121639541201406	575497	-14.49389362335205
60.0	-1.11	53.0	-0.72	1880	10840	6.24857705457624e-05	0.05118715367431266	577647	-14.504058837890625
60.0	-0.0	60.0	-1.03	1886	10880	6.256178021430969e-05	0.05115766265079419	579871	-14.510577201843262
60.0	-1.16	36.0	-0.03	1890	10920	5.997607122847449e-05	0.05112920531839202	582071	-14.525400161743164
60.0	-0.83	60.0	-0.99	1902	10960	5.747769435826879e-05	0.05110627997846589	583877	-14.53258228302002
60.0	-1.05	34.0	-0.04	1913	11000	5.745016444813121e-05	0.05108164258085837	585864	-14.54072093963623
60.0	-1.21	34.0	0.0	1925	11040	5.916266337684963e-05	0.051058141563337885	587801	-14.549067497253418
60.0	-0.84	38.0	-0.28	1932	11080	6.087943104630343e-05	0.05103318623616902	589909	-14.55455207824707
60.0	-1.44	37.0	-0.06	1938	11120	6.0614064443025656e-05	0.05100875220579581	592023	-14.5680513381958
60.0	-0.93	55.0	-0.78	1947	11160	6.073884211988005e-05	0.0509856404456032	594069	-14.57408332824707
41.0	0.01	49.0	-0.61	1958	11200	3.8477331399917604e-05	0.050962576795670546	596160	-14.5814847946167
60.0	-1.25	60.0	-1.1	1966	11240	6.131599806381714e-05	0.05093913411373005	598339	-14.59733772277832
18.0	0.04	51.0	-0.59	1973	11280	1.816282458339177e-05	0.050916863214780804	600459	-14.600618362426758
60.0	-1.2	42.0	-0.36	1981	11320	5.995679659893993e-05	0.050894722711473994	602619	-14.61255168914795
58.0	-0.01	44.0	-0.3	1991	11360	5.992185062086079e-05	0.05087446638156941	604640	-14.624246597290039
60.0	-0.81	42.0	-0.23	1997	11400	5.586113846092893e-05	0.05085375749009862	606757	-14.63029670715332
27.0	0.02	41.0	-0.08	2009	11440	2.764148728830831e-05	0.050834762442207006	608742	-14.637845039367676
60.0	-1.02	50.0	-0.62	2013	11480	5.49171029067621e-05	0.05081382648836332	610988	-14.645293235778809
60.0	-0.7	60.0	-0.95	2021	11520	6.00233053167661e-05	0.050794703752024495	613088	-14.652194023132324
