Averaged Steps Training	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
50.0	-50.0	84.0	-83.2	2645	13780	6.114685656543394e-05	0.05037971335095327	597048	6338	-163.32211303710938
50.0	-0.96	81.0	-80.8	2651	13800	6.035939506862474e-05	0.05037561573088274	597896	6338	-164.30052185058594
50.0	-50.0	100.0	-100.0	2654	13820	6.0137032427422046e-05	0.05037159019788865	598738	6338	-164.44801330566406
50.0	-50.0	100.0	-100.0	2654	13840	6.192393730141524e-05	0.05036697423031596	599718	6338	-169.3568572998047
49.0	-0.96	100.0	-100.0	2659	13860	5.811310089683808e-05	0.050362823550194134	600608	6339	-167.6929473876953
46.0	-0.96	69.0	-68.4	2668	13880	5.7940335369934607e-05	0.050359199925300226	601391	6339	-170.99766540527344
50.0	-50.0	82.0	-81.2	2669	13900	6.286513033530695e-05	0.050354808826835226	602355	6339	-170.08372497558594
36.0	-0.94	100.0	-100.0	2675	13920	4.341160428935084e-05	0.050351230122558724	603146	6339	-169.83616638183594
50.0	-50.0	100.0	-100.0	2679	13940	5.9350439944602496e-05	0.0503471359980799	604064	6339	-165.73780822753906
50.0	-50.0	81.0	-80.4	2682	13960	6.056264000157572e-05	0.050343111040656016	604977	6339	-166.30604553222656
50.0	-50.0	70.0	-68.8	2685	13980	6.0117466425861585e-05	0.050339264191040005	605859	6339	-166.6536865234375
50.0	-50.0	82.0	-81.2	2688	14000	6.025864396776472e-05	0.05033533888867061	606770	6339	-172.42941284179688
40.0	-0.95	66.0	-65.6	2689	14020	4.6344762521871656e-05	0.050331214641336046	607740	6340	-168.75189208984375
50.0	-50.0	100.0	-100.0	2694	14040	5.951447364611503e-05	0.050327730501363424	608566	6340	-173.30650329589844
50.0	-50.0	100.0	-100.0	2697	14060	6.0113276729882185e-05	0.05032394674288395	609475	6340	-170.18524169921875
50.0	-50.0	100.0	-100.0	2700	14080	5.7150321927937595e-05	0.05032032276512297	610355	6340	-170.15687561035156
50.0	-50.0	84.0	-83.4	2704	14100	6.294783125532435e-05	0.05031663640508371	611261	6340	-170.4027099609375
50.0	-50.0	73.0	-71.8	2705	14120	6.051267848136405e-05	0.05031281254972373	612213	6340	-170.29176330566406
50.0	-50.0	100.0	-100.0	2709	14140	5.93433791542323e-05	0.05030942914385986	613063	6340	-170.57994079589844
50.0	-50.0	100.0	-100.0	2715	14160	5.614609368103372e-05	0.05030642303926602	613824	6340	-169.39114379882812
50.0	-50.0	100.0	-100.0	2719	14180	5.9696128237230655e-05	0.05030285878127504	614740	6340	-175.22589111328125
8.0	-0.75	80.0	-80.0	2725	14200	9.041453751040177e-06	0.050299834042063424	615523	6341	-175.90147399902344
4.0	-0.5	83.0	-82.8	2731	14220	4.676558632723222e-06	0.050296635504777906	616361	6341	-175.11328125
50.0	-50.0	84.0	-83.4	2738	14240	5.8317017019464726e-05	0.050293577491057666	617170	6341	-175.24411010742188
8.0	-0.75	75.0	-74.0	2743	14260	8.843189202050508e-06	0.050290438435681144	618010	6341	-169.9663543701172
50.0	-50.0	100.0	-100.0	2750	14280	5.824694446488923e-05	0.050287602445363795	618775	6341	-170.6083984375
50.0	-50.0	100.0	-100.0	2754	14300	5.836720233196979e-05	0.05028422157523767	619701	6341	-174.59027099609375
50.0	-50.0	100.0	-100.0	2757	14320	5.883020062686345e-05	0.05028094716548399	620608	6341	-170.56687927246094
50.0	-50.0	100.0	-100.0	2759	14340	6.045877850371591e-05	0.05027770006502451	621518	6341	-170.43441772460938
